0,0.099268,0,0.099754,0,0.10639
1,0.08861,59,0.02234,59,0.034106
2,0.065262,,,,
3,0.037419,,,,
4,0.036933,,,,
5,0.036462,,,,
6,0.032605,,,,
7,0.031548,,,,
8,0.031518,,,,
9,0.031272,,,,
10,0.030259,,,,
11,0.029549,,,,
12,0.028821,,,,
13,0.028541,,,,
14,0.027953,,,,
15,0.027755,,,,
16,0.02771,,,,
17,0.027305,,,,
18,0.027297,,,,
19,0.026957,,,,
20,0.026926,,,,
21,0.026859,,,,
22,0.02664,,,,
23,0.026589,,,,
24,0.026389,,,,
25,0.026307,,,,
26,0.026281,,,,
27,0.026124,,,,
28,0.026119,,,,
29,0.025973,,,,
30,0.025957,,,,
31,0.025924,,,,
32,0.025819,,,,
33,0.025793,,,,
34,0.025694,,,,
35,0.025646,,,,
36,0.025629,,,,
37,0.025542,,,,
38,0.025538,,,,
39,0.025451,,,,
40,0.025442,,,,
41,0.02542,,,,
42,0.025356,,,,
43,0.025351,,,,
44,0.02523,,,,
45,0.02522,,,,
46,0.025203,,,,
47,0.025149,,,,
48,0.025141,,,,
49,0.025089,,,,
50,0.025056,,,,
51,0.025046,,,,
52,0.024994,,,,
53,0.024994,,,,
54,0.024938,,,,
55,0.024934,,,,
56,0.02492,,,,
57,0.024879,,,,
58,0.024871,,,,
59,0.024793,,,,
